DATE,NDVI_RAW
07/10/2019,0.2938927
08/10/2019,0.2864366
09/10/2019,0.2872983
10/10/2019,0.2859288
11/10/2019,0.2860471
12/10/2019,0.2888776
13/10/2019,0.2868165
14/10/2019,0.3014592
15/10/2019,0.3239431
16/10/2019,0.3276533
17/10/2019,0.3295203
18/10/2019,0.3185708
19/10/2019,0.3188651
20/10/2019,0.331656
21/10/2019,0.322594
22/10/2019,0.3041115
23/10/2019,0.3373594
24/10/2019,0.3091044
25/10/2019,0.3107299
26/10/2019,0.3395693
27/10/2019,0.297471
28/10/2019,0.3485501
29/10/2019,0.3564139
30/10/2019,0.3100976
31/10/2019,0.3088574
01/11/2019,0.3071698
02/11/2019,0.3673376
03/11/2019,0.310181
04/11/2019,0.2451878
05/11/2019,0.2995126
06/11/2019,0.3873016
07/11/2019,0.3027623
08/11/2019,0.2948428
09/11/2019,0.3019688
10/11/2019,0.2995359
11/11/2019,0.2937191
12/11/2019,0.2888068
13/11/2019,0.2921652
14/11/2019,0.2926375
15/11/2019,0.3188559
16/11/2019,0.292562
17/11/2019,0.2895173
18/11/2019,0.2743469
19/11/2019,0.2700219
20/11/2019,0.269049
21/11/2019,0.2694341
22/11/2019,0.2686771
23/11/2019,0.279576
24/11/2019,0.2711032
25/11/2019,0.2807974
26/11/2019,0.2647586
27/11/2019,0.2640678
28/11/2019,0.2621157
29/11/2019,0.2662084
30/11/2019,0.2682559
01/12/2019,0.2695024
02/12/2019,0.279734
03/12/2019,0.2917396
04/12/2019,0.2827006
05/12/2019,0.2762728
06/12/2019,0.3095145
07/12/2019,0.2878355
08/12/2019,0.2823459
09/12/2019,0.3535929
10/12/2019,0.3757871
11/12/2019,0.3157321
12/12/2019,0.319269
13/12/2019,0.3177713
14/12/2019,0.2908579
15/12/2019,0.3226516
16/12/2019,0.2959681
17/12/2019,0.3086446
18/12/2019,0.3197852
19/12/2019,0.321565
20/12/2019,0.3275708
21/12/2019,0.3371799
22/12/2019,0.3537796
23/12/2019,0.3883919
24/12/2019,0.3847342
25/12/2019,0.4443905
26/12/2019,0.4652506
27/12/2019,0.4921286
28/12/2019,0.5341785
29/12/2019,0.5146969
30/12/2019,0.4703611
31/12/2019,0.4763316
01/01/2020,0.5070333
02/01/2020,0.6165789
03/01/2020,0.616048
04/01/2020,0.5583549
05/01/2020,0.575503
06/01/2020,0.4743783
07/01/2020,0.4464008
08/01/2020,0.56638
09/01/2020,0.5922151
10/01/2020,0.5587298
11/01/2020,0.462222
12/01/2020,0.4910019
13/01/2020,0.4970747
14/01/2020,0.5061449
15/01/2020,0.5108234
16/01/2020,0.5905384
17/01/2020,0.6096933
18/01/2020,0.5744303
19/01/2020,0.7241745
20/01/2020,0.701808
21/01/2020,0.7056803
22/01/2020,0.7099371
23/01/2020,0.6043326
24/01/2020,0.6908364
25/01/2020,0.5831175
26/01/2020,0.5922268
27/01/2020,0.6124229
28/01/2020,0.6362092
29/01/2020,0.714466
30/01/2020,0.6547983
31/01/2020,0.6600782
01/02/2020,0.6936543
02/02/2020,0.6783837
03/02/2020,0.6511205
04/02/2020,0.6757076
05/02/2020,0.6691633
06/02/2020,0.6677245
07/02/2020,0.7585589
08/02/2020,0.7999117
09/02/2020,0.7110813
10/02/2020,0.7428204
11/02/2020,0.6861731
12/02/2020,0.8263948
13/02/2020,0.7127515
14/02/2020,0.7272311
15/02/2020,0.7124185
16/02/2020,0.7253082
17/02/2020,0.7709547
18/02/2020,0.7534395
19/02/2020,0.7604731
20/02/2020,0.7562446
21/02/2020,0.7940686
22/02/2020,0.8001289
23/02/2020,0.8085707
24/02/2020,0.7749926
25/02/2020,0.8290269
26/02/2020,0.7900617
27/02/2020,0.777244
28/02/2020,0.7767258
29/02/2020,0.774638
01/03/2020,0.773855
02/03/2020,0.8148324
03/03/2020,0.7741168
04/03/2020,0.7788537
05/03/2020,0.7647641
06/03/2020,0.8329561
07/03/2020,0.7640135
08/03/2020,0.7620286
09/03/2020,0.7840158
10/03/2020,0.7701942
11/03/2020,0.7313405
12/03/2020,0.7382849
13/03/2020,0.8041126
14/03/2020,0.788685
15/03/2020,0.7393603
16/03/2020,0.7210311
17/03/2020,0.7539365
18/03/2020,0.7440051
19/03/2020,0.7439168
20/03/2020,0.7481956
21/03/2020,0.731572
22/03/2020,0.6934865
23/03/2020,0.7015678
24/03/2020,0.6949731
25/03/2020,0.6911843
26/03/2020,0.6449455
27/03/2020,0.6000419
28/03/2020,0.5828707
29/03/2020,0.5800916
30/03/2020,0.5354435
31/03/2020,0.5803272
01/04/2020,0.6379509
02/04/2020,0.5737373
03/04/2020,0.5356529
04/04/2020,0.5352901
05/04/2020,0.5599633
06/04/2020,0.5559369
07/04/2020,0.5524186
08/04/2020,0.5565155
09/04/2020,0.4169621
10/04/2020,0.5712769
11/04/2020,0.5805978
12/04/2020,0.5489766
13/04/2020,0.5423437
14/04/2020,0.5205428
15/04/2020,0.5151103
16/04/2020,0.5445204
17/04/2020,0.5437484
18/04/2020,0.4934978
19/04/2020,0.4846601
20/04/2020,0.4946038
21/04/2020,0.4972866
22/04/2020,0.4951572
23/04/2020,0.5093032
24/04/2020,0.508566
25/04/2020,0.4950403
